image_name,text
train/img_00001.jpg,ଏହି ଘଟଣା ପରେ ସେ ଭାରତ ବାହାରେ ବୌଦ୍ଧଧର୍ମର ପ୍ରଚାର ପ୍ରସାର ନିମନ୍ତେ ପଦକ୍ଷେପ ନେଇଥିଲେ ।
train/img_00002.jpg,ଏହାକୁ ସ୍କୁଲ ପାଠ୍ୟକ୍ରମରେ ମଧ୍ୟ ଅନ୍ତର୍ଭୁକ୍ତ କରାଯିବା ସ୍କୁଲ ଛୁଟି ପୂର୍ବରୁ ସମସ୍ତ ଛାତ୍ରଛାତ୍ରୀ ଏହି ସଙ୍ଗୀତ ଗାନ କରିବା ପାଇଁ ସରକାରୀ ନିର୍ଦ୍ଦେଶ ରହିଛି ।
train/img_00003.jpg,ସେ କାମ୍ବୋଡିଆକୁ ପଠାଇଥିବା ଧର୍ମଗୁରୁଙ୍କୁ କାମ୍ବୋଡିଆର ଜନତା ସ୍ୱାଗତ କରିବା ସହ ସେମାନଙ୍କଠାରୁ ଶିକ୍ଷା ଗ୍ରହଣ କରିଥିଲେ ।
train/img_00004.jpg,ସେହିଦିନଠାରୁ ବୟସ ବଢ଼ିବା ସହ ନୂଆ ରାଜଧାନୀର କଳେବର ଆଶାତୀତ ଭାବେ ବଢ଼ି ବଢ଼ି ଚାଲିଛି ।
train/img_00005.jpg,"ଅବସରପ୍ରାପ୍ତ ପ୍ରଶାସନିକ ଅଧିକାରୀ କୃଷ୍ଣଚନ୍ଦ୍ର ବଡ଼ (ଆଇଏଏସ୍), ବସନ୍ତ ସ୍ୱାଇଁ (ଆଇଏଏସ୍), ଅବସରପ୍ରାପ୍ତ ବିଶେଷଜ୍ଞ ଦୁର୍ଗା ଚରଣ ଜେନା, ନାଇଜର ରେଜିଷ୍ଟ୍ରାର ଅଭୟ ନାୟକ, ସଚିବ ପ୍ରମୋଦ କୁମାର ପ୍ରତିହାରୀ (ଓଇଏସ୍), ବିଶିଷ୍ଟ ଔପନ୍ୟାସିକ ବିଭୂତି ପଟ୍ଟନାୟକଙ୍କ ସମେତ ଶତାଧିକ ଡାକ୍ତର, ଇଞ୍ଜିନିୟର ଓ ଅନ୍ୟ ପଦ ପଦବୀଧାରୀ ଏଠାରୁ ଉନ୍ନୀତ ହୋଇଯାଇଛନ୍ତି ।"
train/img_00006.jpg,ଏଯାବତ ଏହାର ସମ୍ଭାର କଳନା କରାଯାଇପାରିନାହିଁ ।
train/img_00007.jpg,ନୂଆଖାଇ ସରିବା ପରେ ନର୍ତ୍ତକ ଘୁମୁରା ବଜାଇ ଗ୍ରାମ ପରିକ୍ରମା କରିଥାନ୍ତି ।
train/img_00008.jpg,କେବଳ ଏହା ଲୋକ ସଂଗୀତ କହିଦେଲେ ହେବ ନାହିଁ ।
train/img_00009.jpg,ଚିତ୍ରତ୍ତ୍ୱଳା
train/img_00010.jpg,ବହୁ ଲୋକ ସମ୍ପୂର୍ଣ୍ଣ ମାସ ଆମିଷ ଭକ୍ଷଣ କରନ୍ତି ନାହିଁ ।
